0.85	17.45	2
0.75	15.6	2
3.30	15.45	2
5.25	14.2	2
4.90	15.65	2
5.35	15.85	2
5.10	17.9	2
4.60	18.25	2
4.05	18.75	2
3.40	19.7	2
2.90	21.15	2
3.10	21.85	2
3.90	21.85	2
4.40	20.05	2
7.20	14.5	2
7.65	16.5	2
7.10	18.65	2
7.05	19.9	2
5.85	20.55	2
5.50	21.8	2
6.55	21.8	2
6.05	22.3	2
5.20	23.4	2
4.55	23.9	2
5.10	24.4	2
8.10	26.35	2
10.15	27.7	2
9.75	25.5	2
9.20	21.1	2
11.20	22.8	2
12.60	23.1	2
13.25	23.5	2
11.65	26.85	2
12.45	27.55	2
13.30	27.85	2
13.70	27.75	2
14.15	26.9	2
14.05	26.55	2
15.15	24.2	2
15.20	24.75	2
12.20	20.9	2
12.15	21.45	2
12.75	22.05	2
13.15	21.85	2
13.75	22	2
13.95	22.7	2
14.40	22.65	2
14.20	22.15	2
14.10	21.75	2
14.05	21.4	2
17.20	24.8	2
17.70	24.85	2
17.55	25.2	2
17.00	26.85	2
16.55	27.1	2
19.15	25.35	2
18.80	24.7	2
21.40	25.85	2
15.80	21.35	2
16.60	21.15	2
17.45	20.75	2
18.00	20.95	2
18.25	20.2	2
18.00	22.3	2
18.60	22.25	2
19.20	21.95	2
19.45	22.1	2
20.10	21.6	2
20.10	20.9	2
19.90	20.35	2
19.45	19.05	2
19.25	18.7	2
21.30	22.3	2
22.90	23.65	2
23.15	24.1	2
24.25	22.85	2
22.05	20.25	2
20.95	18.25	2
21.65	17.25	2
21.55	16.7	2
21.60	16.3	2
21.50	15.5	2
22.40	16.5	2
22.25	18.1	2
23.15	19.05	2
23.50	19.8	2
23.75	20.2	2
25.15	19.8	2
25.50	19.45	2
23.00	18	2
23.95	17.75	2
25.90	17.55	2
27.65	15.65	2
23.10	14.6	2
23.50	15.2	2
24.05	14.9	2
24.50	14.7	2
14.15	17.35	1
14.30	16.8	1
14.30	15.75	1
14.75	15.1	1
15.35	15.5	1
15.95	16.45	1
16.50	17.05	1
17.35	17.05	1
17.15	16.3	1
16.65	16.1	1
16.50	15.15	1
16.25	14.95	1
16.00	14.25	1
15.90	13.2	1
15.15	12.05	1
15.20	11.7	1
17.00	15.65	1
16.90	15.35	1
17.35	15.45	1
17.15	15.1	1
17.30	14.9	1
17.70	15	1
17.00	14.6	1
16.85	14.3	1
16.60	14.05	1
17.10	14	1
17.45	14.15	1
17.80	14.2	1
17.60	13.85	1
17.20	13.5	1
17.25	13.15	1
17.10	12.75	1
16.95	12.35	1
16.50	12.2	1
16.25	12.5	1
16.05	11.9	1
16.65	10.9	1
16.70	11.4	1
16.95	11.25	1
17.30	11.2	1
18.05	11.9	1
18.60	12.5	1
18.90	12.05	1
18.70	11.25	1
17.95	10.9	1
18.40	10.05	1
17.45	10.4	1
17.60	10.15	1
17.70	9.85	1
17.30	9.7	1
16.95	9.7	1
16.75	9.65	1
19.80	9.95	1
19.10	9.55	1
17.50	8.3	1
17.55	8.1	1
17.85	7.55	1
18.20	8.35	1
19.30	9.1	1
19.40	8.85	1
19.05	8.85	1
18.90	8.5	1
18.60	7.85	1
18.70	7.65	1
19.35	8.2	1
19.95	8.3	1
20.00	8.9	1
20.30	8.9	1
20.55	8.8	1
18.35	6.95	1
18.65	6.9	1
19.30	7	1
19.10	6.85	1
19.15	6.65	1
21.20	8.8	1
21.40	8.8	1
21.10	8	1
20.40	7	1
20.50	6.35	1
20.10	6.05	1
20.45	5.15	1
20.95	5.55	1
20.95	6.2	1
20.90	6.6	1
21.05	7	1
21.85	8.5	1
21.90	8.2	1
22.30	7.7	1
21.85	6.65	1
21.30	5.05	1
22.60	6.7	1
22.50	6.15	1
23.65	7.2	1
24.10	7	1
21.95	4.8	1
22.15	5.05	1
22.45	5.3	1
22.45	4.9	1
22.70	5.5	1
23.00	5.6	1
23.20	5.3	1
23.45	5.95	1
23.75	5.95	1
24.45	6.15	1
24.60	6.45	1
25.20	6.55	1
26.05	6.4	1
25.30	5.75	1
24.35	5.35	1
23.30	4.9	1
22.95	4.75	1
22.40	4.55	1
22.80	4.1	1
22.90	4	1
23.25	3.85	1
23.45	3.6	1
23.55	4.2	1
23.80	3.65	1
23.80	4.75	1
24.20	4	1
24.55	4	1
24.70	3.85	1
24.70	4.3	1
24.90	4.75	1
26.40	5.7	1
27.15	5.95	1
27.30	5.45	1
27.50	5.45	1
27.55	5.1	1
26.85	4.95	1
26.60	4.9	1
26.85	4.4	1
26.20	4.4	1
26.00	4.25	1
25.15	4.1	1
25.60	3.9	1
25.85	3.6	1
24.95	3.35	1
25.10	3.25	1
25.45	3.15	1
26.85	2.95	1
27.15	3.15	1
27.20	3	1
27.95	3.25	1
27.95	3.5	1
28.80	4.05	1
28.80	4.7	1
28.75	5.45	1
28.60	5.75	1
29.25	6.3	1
30.00	6.55	1
30.60	3.4	1
30.05	3.45	1
29.75	3.45	1
29.20	4	1
29.45	4.05	1
29.05	4.55	1
29.40	4.85	1
29.50	4.7	1
29.90	4.45	1
30.75	4.45	1
30.40	4.05	1
